Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
LADY BEDSPACE FOR RENT IN TAGUIG,1400,"DESCRIPTION:

> 23 sqm Studio Type
>1 month advance 1 month deposit.
> Good for 5 pax only
> Owned submeter for water utility.
> No pets allowed
> New furnished unit (built-in cabinets, timber double decks and upper shelves & lower cabinet at kitchen).
> Beside the Aqua Quest
> Walking distance to Signal Market, SM Hypermarket, Puregold, McDonalds, Jollibee, Ministop, Espino Church & Barangay South Signal Village.

NEARBY LANDMARKS:
CBD (Central Business District)
> FTI Arca South Terminal
> Market! Market!
> BGC
> SM City Bicutan

Message or contact me for inquiries.
Contact #: 09271779233

THANKS!",No. 20 A Major Vita St. Zone 7 Central Signal Village Taguig City,1,1,Metro Manila (NCR),Taguig,Central Signal Village,23,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-taguig-1049541939/?t-id=ZuqP850u9z_1608187583066&t-referrer_browse_type=search_results&t-referrer_request_id=kKthC97Ad0AckMrs&t-referrer_search_query=bedspace%20Taguig&t-referrer_sort_by=popular
Taguig Bedspace / Condo Sharing,5000,"Please Read Carefully.

Condo Sharing/Bedspace (Female Only)

Location: Taguig near Acacia Estates and Medical Center Taguig

1 min to Mcdonald's
1 min to nearest Laundry Shop and Mini Stop
2 mins to Medical Center Taguig Hospital
3 mins to Vista Mall and All Home Taguig
5 mins to Puregold Gen. Luna Taguig
5 mins to Sta. Ana Church
5 mins to Taguig City Hall
5 mins to The Nest Food Market

10-15 mins to Mckinley Hill (without heavy traffic)
15-20 mins to BGC and Market Market (without traffic)

Rent Includes the following:
- Airconditioned Rooms
- All water and Electric Bills
- Own Closet
- 50 mbps Internet Connection
- Hot Shower
- Access to Swimming Pool
- Access to Gym
- Access to Function Room
- Work from home is allowed

Message me for more details. Thank you. :)",N/A,N/A,N/A,Metro Manila (NCR),Taguig,Ususan,48,,,,https://www.carousell.ph/p/taguig-bedspace-condo-sharing-1050640993/?t-id=ZuqP850u9z_1608187583066&t-referrer_browse_type=search_results&t-referrer_request_id=QPqce2bA9a56nMWE&t-referrer_search_query=bedspace%20Taguig&t-referrer_sort_by=popular
2BR Ready For Occupancy Centrella Homes San Jose Del Monte Bulacan,2800000,"2BR Ready For Occupancy Centrella Homes San Jose Del Monte Bulacan

READY FOR OCCUPANCY
Centrella Homes Townhouse Fully Finished
Holy Angels Subd. Brgy Kaypian, San Jose del Monte Bulacan

- 2 Storey Unit Inner Townhouse
- 2 Bedrooms / 2 Toilet & Bath / 1 Garage
Floor Area: 70 sqm.
Lot Area: 60 sqm.
Total Selling Price: Php 2,800,000 ( Negotiable )

20% Downpayment
80% Bank Financing

Property For Sale By AZA REALTY (Anthony Z. Alisuag) Residential, Commercial, House and Lot, Lot Only, Subdivision, Townhouse and Rowhouse, House Constructions, Housing, Improvements and Remodelling, Condominiums, Resorts, Golf Courses, Vacant Property

Contact Information For Inquiries and Free Tripping Call: 
Anthony Zulueta Alisuag
Real Estate Broker PRC License No. 12278
Real Estate Appraiser PRC License No. 6469
Housing & Land Use Regulatory Board No. 2471 
Company Name: AZA REALTY",,2,2,Central Luzon,San Jose del Monte,Kaypian,70,60,1,Yes,https://www.carousell.ph/p/2br-ready-for-occupancy-centrella-homes-san-jose-del-monte-bulacan-1053042105/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=NEdC7Phimo0FBdfu&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
Duplex type house San Jose del Monte executive village palmera (near starmall),1800000,"Selling our house and lot (currently being rented) for 2m. Negotiable. House is near starmall (real estate in this area is rapidly rising in value because of the under construction airport and mrt) Respect po

Cash or financing (50% dp)",Blk 3 Lt 21 northridge executive san jose del monte bulacan,2,1,Central Luzon,San Jose del Monte,Dulong Bayan,50,83,1,Yes,https://www.carousell.ph/p/duplex-type-house-san-jose-del-monte-executive-village-palmera-near-starmall-1053897914/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=2Vvq9WlPydTnBwI4&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
Duplex Type House and lot for Sale in San Jose del Monte,2700000,"Villa Belissa By Hausplus
Brgy, Sapang Palay, San Jose Del Monte, Bulacan

*1 ride going to Sta. Cruz/ Balintawak
*100% NON FLOODED AREA

DANICA Model

Lot Area: 70 sqm
Floor Area: 80 sqm

Pag-Ibig Financing

Total Contract Price: Php2,700,000 less 20k discount
Reservation Fee: 20,000

Downpayment: Php 665,000 
20% of DP Spot payment: Php 133,000
Remaining DP: Php 532,000 payable for 20 mos: 26,600

Monthly Amortization: 12,447 per month for 30 years
**Required Income: Php 36,000

Amenities:
* Basketball Court
* Playground
* Jogging Path
* Near Schools and Victory Center Mall

For free tripping and more information message us @ 

CVD REALTY
Erika Ramirez
Globe\Viber\Whatsapp: 0917-459-8835
Smart: 0921-466-9124

HLURB#004362

#VillaBelissa #SJDM #Bella #3bedrooms #Townhouse #MRT7 #SmTungko"," CSJDM Bulacan, Sapang Palay",3,2,Central Luzon,San Jose del Monte,Sapang Palay,,,1,,https://www.carousell.ph/p/duplex-type-house-and-lot-for-sale-in-san-jose-del-monte-1014578606/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=2Vvq9WlPydTnBwI4&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
TOWNHOUSE @ METROGATE Heritage Villas San Jose del Monte Bulacan,1669288,"Heritage Villas @Metrogate
Located @Sapang Palay Proper,San Jose Del Monte Bulacan

GISELLE BASIC INNER
Lot Area : 48 sqm
Floor Area: 40 sqm
2 Bedrooms
1 Toilet & Bath
Kithen Area
Dining Area

TCP  Php1,669,288.00
DP 20% payable in 24 months
Monthly Amortization for 20 years Php 10,235.00

available thru in house and bank financing.
Amenities:
?Clubhouse
?Swimming pool
?Basketball
?Gym
?Tennis Court
?Children's Playground

FOR MORE DETAILS and ASSISTANCE 

Pls call sms or PM      
TES ALVAREZ"," Sapang Palay ,San Jose del Monte Bulacan, Sapang Palay",2,1,Central Luzon,San Jose del Monte,Sapang Palay,40,48,0,,https://www.carousell.ph/p/townhouse-metrogate-heritage-villas-san-jose-del-monte-bulacan-1035845455/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=2Vvq9WlPydTnBwI4&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
"READY FOR OCCUPANCY 4 BEDROOM AT BRGY MUZON CITY OF SAN JOSE DEL MONTE, BULACAN (AMARESA 2)",5794800,"READY FOR OCCUPANCY 4 BEDROOM AT BRGY MUZON CITY OF SAN JOSE DEL MONTE, BULACAN (AMARESA 2)

- HIGHLIGHTS
-100% FLOOD FREE Area
- NO HIDDEN CHARGE (ALL-IN NA SA TCP)
- NEAR AMENITIES

-ONLY P30,000 to RESERVED
-TCP P5,794,800
-20% Down Payment (payable up to 03 months)
-80% Balance applicable thru Bank or Inhouse Financing
-as LOW as P39,5000/mo
-Required Salary OFW (single or combine) P129K/mo
-Required Salary Locally Employed (single or combine) P113/mo

-LOCATION
AMARESA 2
Along Sta Maria Tungkong Mangga Rd Brgy. Muzon SJDM Bulacan 

-HOUSE FEATURES (ANIKA MODEL)
Gross Floor Area: 96 sqm
Usable Floor Area: 111 sqm
Min. Lot Area: 110 sqm
Two-Storey Single-Attached
4 Bedrooms
3 Toilet and Bath
Living, Dining, and Kitchen Area
Sliding Door to Lanai
Carport with Deck
(Additional 15 sqm usable floor area at deck)

For more details, site viewing and reservation
Jerry Laureano
09169608028
Arlia Land Realty
#AmaresaMuzon #AmaresaSJDM #AnikaModel #AmaresaAnika #DreamHouse #BulacanHouseAndLot #AnikaAmaresa2 #RFO
#SanJoseDelMonteHouseAndLot #ReadyForOccupancySJDM #4BedroomsRFO #MuzonSJDM #Muzon #amaresa2 #amaresarfo",,4,3,Central Luzon,San Jose del Monte,Muzon,111,110,,,https://www.carousell.ph/p/ready-for-occupancy-4-bedroom-at-brgy-muzon-city-of-san-jose-del-monte-bulacan-amaresa-2-1053740103/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=JHlCOM3l7eoUZo45&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
4BR Ready For Occupancy Palmera Homes San Jose Del Monte Bulacan,2800000,"4BR Ready For Occupancy Palmera Homes San Jose Del Monte Bulacan

READY FOR OCCUPANCY FULLY FINISHED
Palmera Homes Subdivision, San Jose Del Monte City, Bulacan
- 2 Storey Unit Single Attached
- 4 Bedrooms / 2 Toilet & Bath

Total Selling Price: Php 2,800,000 ( Negotiable )

20% Downpayment
80% Bank Financing

Property For Sale By AZA REALTY (Anthony Z. Alisuag) Residential, Commercial, House and Lot, Lot Only, Subdivision, Townhouse and Rowhouse, House Constructions, Housing, Improvements and Remodelling, Condominiums, Resorts, Golf Courses, Vacant Property

Contact Information For Inquiries and Free Tripping Call: 
Anthony Zulueta Alisuag
President of Real Estate Brokers 
Association of the Philippines Inc. (Bulacan Chapter)
Real Estate Broker PRC License No. 12278
Real Estate Appraiser PRC License No. 6469
Housing & Land Use Regulatory Board No. 2471 
Company Name: AZA REALTY",,4,2,Central Luzon,San Jose del Monte,Muzon,75,90,1,,https://www.carousell.ph/p/4br-ready-for-occupancy-palmera-homes-san-jose-del-monte-bulacan-1053057697/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=j1RoLgRc5WUhMzBQ&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
Affordable house and lot in san jose del monte bulacan,1695000,"Lessandra Monticello is indeed the right investment for everyone, especially for young professionals and families. Bringing you the utmost convenience and accessibility to everything that you need, Lessandra Monticello is indeed the right investment for everyone, especially for young professionals and families. 

This wide and spacious 14-hectare house and lot development in San Jose del Monte, Bulacan is a uniquely inviting community na malapit sa mga schools and universities, churches and commercial establishments at may transport terminal pa. Indeed, Lessandra Monticello guarantees a home that is safe and secured, where everyone can relax and live comfortably day-by-day.

Lessandra San Jose del Monte is located at Sapang Palay, San Jose Del Monte City, Bulacan.

- We're 5mins away to New San Jose del Monte Municipal Hall

-We're 11mins away to Kairos Hospital

-We're also 3mins away to Sapang Palay Proper Elementary School

-And we're also 11mins away from Starmall and 18 mins away from SM San Jose del Monte

 We're 5mins away from the highway, accessible po tayo sa mga buses and jeepney transport terminal na papuntang manila, caloocan and novaliches",,2,1,Central Luzon,San Jose del Monte,Sapang Palay,36,40,0,Yes,https://www.carousell.ph/p/affordable-house-and-lot-in-san-jose-del-monte-bulacan-1053050338/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=f863E-J8qyXw5qDO&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
3BR Ready For Occupancy Eminenza Residences San Jose Del Monte Bulacan,4500000,"3BR Ready For Occupancy Eminenza Residences San Jose Del Monte Bulacan

Eminenza Residence 1 - Quirino Highway
Barangay Kaypian, San Jose del Monte Bulacan

Floor area - 76.17sqm
Lot area - 117sqm

- 3 Bedrooms
- 2 Toilet & Bath
- With garage
- Complete with cabinets 
- 2 split type aircondition and 1 window type

Total Selling Price: Php 4,500,000 (Negotiable)

20% Downpayment
80% Bank Financing

Property For Sale By AZA REALTY (Anthony Z. Alisuag) House and Lot, Lot Only, Subdivision, Townhouse and Rowhouse, House Constructions, Housing, Improvements and Remodelling, Condominiums, Resorts, Golf Courses, Vacant Property

Contact Information For Inquiries and Free Tripping Call: 
Anthony Zulueta Alisuag
Real Estate Broker PRC License No. 12278
Real Estate Appraiser PRC License No. 6469
Housing & Land Use Regulatory Board No. 2471 
Company Name: AZA REALTY",,3,2,Central Luzon,San Jose del Monte,Kaypian,76,117,1,Yes,https://www.carousell.ph/p/3br-ready-for-occupancy-eminenza-residences-san-jose-del-monte-bulacan-1053042912/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=PEYIjlKhuyy8h57b&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
"For Sale LOT for investment, over looking, few meters away from ABSCBN studio San Jose del Monte Bulacan, available 1,020 sqm, 167 and 200 sqm. 9,000 per sqm.",9000,"For Sale LOT for investment, over looking, few meters away from ABSCBN  studio San Jose del Monte Bulacan, available 1,020 sqm, 167 and 200 sqm. 9,000 per sqm. Clean title.","For Sale LOT for investment, over looking, few meters away from ABSCBN  studio San Jose del Monte Bulacan, available 1,020 sqm, 167 and 200 sqm. 9,000 per sqm.",,,Central Luzon,San Jose del Monte,Santo Cristo,,,,,https://www.carousell.ph/p/for-sale-lot-for-investment-over-looking-few-meters-away-from-abscbn-studio-san-jose-del-monte-bulacan-available-1-020-sqm-167-and-200-sqm-9-000-per-sqm-1048327010/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=3FsIjR2UZRxlpyY_&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
"1.339 Hectares Lot - Brgy. Muzon, San Jose del Monte City (Bulacan)",40169999,"MUZON, SAN JOSE DEL MONTE CITY, BULACAN
1.339 HECTARE LOT FOR SALE!

Property Description:

-2kilometers from Muzon Crossing
-13,390 sq.m. lot area
-Beside barangay road
-Good for housing subdivision or warehouse
-Flood free
-5minutes away from Hospitals, Schools, Restaurants, and Commercial establishments (savemore, mercury drug, etc.)
-20minutes away from SM San Jose del Monte City
-30minutes away from SM Marilao
-Accessible transit via NLEX Bocaue exit and NLEX Marilao Exit
-Easy and accessible through Tungkong Mangga Quirino Highway from Fairview Quezon City

For inquiries please contact:

John Ryan Dalumpines
PRC REB Lic. No. 008964

+639056010988 (Globe)",Kamandalaan,,,Central Luzon,San Jose del Monte,Muzon,,13390,,,https://www.carousell.ph/p/1-339-hectares-lot-brgy-muzon-san-jose-del-monte-city-bulacan-1055054696/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=2B8AOCI5he0u_Wxr&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
"For Sale: Vacant Lot in San Jose Del Monte, Bulacan",180000000,"For Sale:
Vacant Lot in San Jose Del Monte, Bulacan Along Quirino Highway
Lot Area: 4 has
Price: P4,500 per sqm

Denise Manalo
REBL28773",,,,Central Luzon,Bulacan,Batasan Hills,,40000,,,https://www.carousell.ph/p/for-sale-vacant-lot-in-san-jose-del-monte-bulacan-240601738/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=3FsIjR2UZRxlpyY_&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
Vacant lot for sale San Jose Del Monte Bulacan,4000,"Vacant Lot for Sale, San Jose Bulacan, one is 1,171 square meters and 1007 square meters.  Selling at 3500 per square meter.

The smaller lot is the 1007 square meters. 

Direct buyers only.

Please text or email at the contacts provided

lots are opposite one another

Please call me or email me at the contact number provided",Gumamela Street,,,Central Luzon,San Jose,St. Martin De Porres,,2178,,,https://www.carousell.ph/p/vacant-lot-for-sale-san-jose-del-monte-bulacan-239176869/?t-id=7DSCVigE4-_1608188315497&t-referrer_browse_type=search_results&t-referrer_request_id=3FsIjR2UZRxlpyY_&t-referrer_search_query=bedspace%20san%20jose%20del%20monte&t-referrer_sort_by=popular
